Date,Open,High,Low,Close,Volume,Adj Close
2016-12-14,58.200001,58.200001,57.169998,57.23,2160400,56.528666
2016-12-13,58.220001,58.389999,58.02,58.07,1489000,57.358372
2016-12-12,58.50,58.939999,58.41,58.849998,1849800,57.454184
2016-12-09,58.25,58.48,58.029999,58.400002,958200,57.01486
2016-12-08,58.470001,58.48,57.950001,58.279999,1409500,56.897703
2016-12-07,57.50,58.360001,57.50,58.299999,1497700,56.917229
2016-12-06,57.669998,57.740002,57.360001,57.709999,1296800,56.341223
2016-12-05,57.59,57.77,57.400002,57.66,1069300,56.29241
2016-12-02,57.139999,57.68,56.919998,57.369999,1030100,56.009287
2016-12-01,57.959999,57.959999,57.00,57.049999,1722700,55.696877
2016-11-30,58.540001,58.630001,57.849998,57.889999,1997300,56.516954
2016-11-29,58.25,58.540001,58.119999,58.509998,1107200,57.122248
2016-11-28,58.209999,58.220001,57.919998,58.139999,1633100,56.761025
2016-11-25,57.950001,58.299999,57.869999,58.16,834400,56.780551
2016-11-24,57.849998,58.200001,57.849998,57.950001,513700,56.575532
2016-11-23,57.57,58.060001,57.509998,57.849998,898300,56.477902
2016-11-22,57.919998,58.049999,57.66,57.68,1417000,56.311936
2016-11-21,58.599998,58.599998,57.900002,57.98,1755700,56.60482
2016-11-18,58.50,58.580002,58.209999,58.50,821400,57.112487
2016-11-17,58.009998,58.700001,57.799999,58.43,1621200,57.044147
2016-11-16,57.77,57.98,57.34,57.950001,1266500,56.575532
2016-11-15,57.119999,57.950001,57.119999,57.880001,1387800,56.507193
2016-11-14,57.48,57.59,56.799999,56.950001,1896300,55.59925
2016-11-11,57.82,58.07,57.32,57.450001,1416300,56.087391
2016-11-10,59.18,59.189999,57.580002,57.689999,2341200,56.321697
2016-11-09,59.150002,59.580002,59.049999,59.200001,1691400,57.795885
2016-11-08,59.59,59.869999,59.459999,59.599998,822800,58.186395
2016-11-07,59.59,59.720001,59.279999,59.700001,765900,58.284026
2016-11-04,59.619999,59.759998,59.130001,59.27,1023900,57.864224
2016-11-03,59.91,60.07,59.50,59.630001,907200,58.215686
2016-11-02,60.060001,60.360001,59.779999,59.880001,1176600,58.459757
2016-11-01,60.82,60.900002,60.029999,60.279999,1099200,58.850267
2016-10-31,60.490002,61.09,60.400002,60.939999,1321300,59.494613
2016-10-28,60.439999,60.799999,60.32,60.529999,1175000,59.094337
2016-10-27,60.59,60.700001,60.32,60.470001,1599800,59.035763
2016-10-26,60.549999,60.98,60.330002,60.509998,1249000,59.074811
2016-10-25,61.16,61.169998,60.529999,60.57,900900,59.13339
2016-10-24,60.93,61.139999,60.669998,61.130001,779200,59.680109
2016-10-21,60.599998,60.889999,60.470001,60.860001,1151100,59.416512
2016-10-20,60.549999,60.84,60.349998,60.59,1194600,59.152916
2016-10-19,60.639999,60.73,60.279999,60.650002,912600,59.211494
2016-10-18,60.290001,60.75,60.009998,60.57,870100,59.13339
2016-10-17,60.18,60.450001,60.060001,60.200001,685100,58.772166
2016-10-14,60.490002,60.639999,60.290001,60.299999,849200,58.869793
2016-10-13,60.139999,60.529999,59.720001,60.380001,1086600,58.947897
2016-10-12,59.73,60.52,59.689999,60.34,1074800,58.908845
2016-10-11,59.439999,59.939999,59.439999,59.709999,839000,58.293787
2016-10-07,59.759998,60.00,59.16,59.43,1336600,58.020429
2016-10-06,59.869999,60.099998,59.720001,59.970001,1031500,58.547622
2016-10-05,60.23,60.52,59.75,59.869999,1137900,58.449992
2016-10-04,60.330002,60.799999,59.900002,60.189999,1152100,58.762402
2016-10-03,60.50,60.560001,60.02,60.509998,830200,59.074811
2016-09-30,61.080002,61.169998,60.57,60.59,1389300,59.152916
2016-09-29,60.57,61.049999,60.549999,60.950001,734300,59.504378
2016-09-28,60.720001,60.919998,60.48,60.57,902800,59.13339
2016-09-27,60.75,60.860001,60.509998,60.599998,751700,59.162677
2016-09-26,60.50,60.82,60.150002,60.689999,706400,59.250542
2016-09-23,60.91,61.07,60.59,60.630001,956500,59.191968
2016-09-22,60.779999,61.200001,60.599998,61.029999,1130200,59.582478
2016-09-21,60.48,60.75,60.18,60.549999,879500,59.113864
2016-09-20,60.200001,60.599998,59.900002,60.310001,998000,58.879558
2016-09-19,60.139999,60.23,59.880001,60.049999,1003100,58.625723
2016-09-16,60.48,60.529999,59.630001,60.009998,2758500,58.58667
2016-09-15,60.009998,60.57,60.009998,60.48,897500,59.045524
2016-09-14,59.75,60.630001,59.650002,60.130001,1033000,58.703827
2016-09-13,60.169998,60.189999,59.509998,59.919998,2067800,58.498805
2016-09-12,60.779999,61.50,60.599998,61.290001,1696200,59.169512
